feature_set,dim,task,model,cv_weighted_r2,Dry_Green_g,Dry_Dead_g,Dry_Clover_g,GDM_g,Dry_Total_g
all_models_all_crops_pca256,256,biomass_only,xgboost,0.5308225807778282,0.6207856380665968,0.22489749306242834,0.48036171584927323,0.6403856193256192,0.5402819444297491
all_models_all_crops_pca256,256,joint_meta_biomass,xgboost,0.5308225807778282,0.6207856380665968,0.22489749306242834,0.48036171584927323,0.6403856193256192,0.5402819444297491
all_models_original_pca256,256,biomass_only,xgboost,0.5270127251298238,0.5950027357745937,0.2723183789181062,0.47881005399256715,0.6132561669491056,0.5394967497429519
all_models_original_pca256,256,joint_meta_biomass,xgboost,0.5270127251298238,0.5950027357745937,0.2723183789181062,0.47881005399256715,0.6132561669491056,0.5394967497429519
all_models_center_pca256,256,biomass_only,xgboost,0.5252969177962266,0.6057385589061717,0.2158094089831567,0.420420975579912,0.5919794388036849,0.565408271377131
all_models_center_pca256,256,joint_meta_biomass,xgboost,0.5252969177962266,0.6057385589061717,0.2158094089831567,0.420420975579912,0.5919794388036849,0.565408271377131
all_models_all_crops_pca256,256,biomass_only,lightgbm,0.5217261876181917,0.6111438693492754,0.2440767117791398,0.530696989638727,0.6357950144996902,0.5119508552830787
all_models_all_crops_pca256,256,joint_meta_biomass,lightgbm,0.5217261876181917,0.6111438693492754,0.2440767117791398,0.530696989638727,0.6357950144996902,0.5119508552830787
all_models_original_pca256,256,biomass_only,lightgbm,0.5151417398701172,0.5725784516231337,0.27439859556266055,0.5000286611505234,0.6048662960103794,0.5189358196688192
all_models_original_pca256,256,joint_meta_biomass,lightgbm,0.5151417398701172,0.5725784516231337,0.27439859556266055,0.5000286611505234,0.6048662960103794,0.5189358196688192
all_models_highveg_pca256,256,biomass_only,lightgbm,0.5036636134707018,0.5406164229584063,0.20445875271931413,0.43681630164720053,0.6145316636241447,0.5251362660267614
all_models_highveg_pca256,256,joint_meta_biomass,lightgbm,0.5036636134707018,0.5406164229584063,0.20445875271931413,0.43681630164720053,0.6145316636241447,0.5251362660267614
all_models_center_pca256,256,biomass_only,lightgbm,0.5016498602229178,0.5463124512931796,0.19990587169206986,0.48749071759731677,0.5878654541110941,0.5214117306848848
all_models_center_pca256,256,joint_meta_biomass,lightgbm,0.5016498602229178,0.5463124512931796,0.19990587169206986,0.48749071759731677,0.5878654541110941,0.5214117306848848
all_models_highveg_pca256,256,biomass_only,xgboost,0.5016453151480709,0.5326033343991693,0.21350109570870524,0.39182528329836974,0.5985514548942357,0.5362841056571985
all_models_highveg_pca256,256,joint_meta_biomass,xgboost,0.5016453151480709,0.5326033343991693,0.21350109570870524,0.39182528329836974,0.5985514548942357,0.5362841056571985
convnextv2_base_all_crops_pca256,256,biomass_only,xgboost,0.49474446507226794,0.517808661410679,0.20236737126850124,0.3378467674441429,0.5680347268040018,0.5506704793982705
convnextv2_base_all_crops_pca256,256,joint_meta_biomass,xgboost,0.49474446507226794,0.517808661410679,0.20236737126850124,0.3378467674441429,0.5680347268040018,0.5506704793982705
siglip_base_all_crops_pca256,256,joint_meta_biomass,xgboost,0.49177941004505826,0.5466917195563077,0.15138924589934233,0.40724326294635316,0.5333759081855287,0.5491436111355044
siglip_base_all_crops_pca256,256,biomass_only,xgboost,0.49177941004505826,0.5466917195563077,0.15138924589934233,0.40724326294635316,0.5333759081855287,0.5491436111355044
siglip_base_all_crops_pca256,256,joint_meta_biomass,lightgbm,0.49001169290242236,0.5446785328199781,0.15116653403882574,0.4640710072457531,0.5624423282518803,0.5230632396831811
siglip_base_all_crops_pca256,256,biomass_only,lightgbm,0.49001169290242236,0.5446785328199781,0.15116653403882574,0.4640710072457531,0.5624423282518803,0.5230632396831811
convnextv2_base_all_crops_pca256,256,biomass_only,lightgbm,0.4854227279211799,0.478468675816917,0.2171183059896976,0.3993160956721723,0.5606468443023888,0.5276061026256469
convnextv2_base_all_crops_pca256,256,joint_meta_biomass,lightgbm,0.4854227279211799,0.478468675816917,0.2171183059896976,0.3993160956721723,0.5606468443023888,0.5276061026256469
all_models_all_crops_pca256,256,joint_meta_biomass,catboost,0.47668051948894596,0.5145527718052141,0.21301977415022177,0.2695319352870359,0.5640914491991452,0.5283035630497395
dinov2_large_all_crops_pca256,256,joint_meta_biomass,xgboost,0.4743124528510317,0.5594247820024549,0.2568589946718969,0.395945071108471,0.5600009357840859,0.48217876183186437
dinov2_large_all_crops_pca256,256,biomass_only,xgboost,0.4743124528510317,0.5594247820024549,0.2568589946718969,0.395945071108471,0.5600009357840859,0.48217876183186437
dinov2_large_all_crops_pca256,256,joint_meta_biomass,lightgbm,0.4717483019116392,0.5578840031368939,0.2163966346611914,0.4016234938365546,0.5730788633277556,0.4790842321652481
